ang,disp
0.001, 0.151613
0.0014789579158316633, 0.224229
0.0019579158316633265, 0.296844
0.00243687374749499, 0.369459
0.002915831663326653, 0.442074
0.0033947895791583164, 0.514688
0.00387374749498998, 0.587301
0.0043527054108216424, 0.659913
0.004831663326653307, 0.732525
0.005310621242484969, 0.805135
0.005789579158316633, 0.877744
0.006268537074148296, 0.950352
0.00674749498997996, 1.022958
0.007226452905811623, 1.095563
0.007705410821643286, 1.168167
0.00818436873747495, 1.240768
0.008663326653306613, 1.313368
0.009142284569138275, 1.385966
0.009621242484969938, 1.458562
0.010100200400801604, 1.531155
0.010579158316633266, 1.603747
0.011058116232464929, 1.676336
0.011537074148296592, 1.748923
0.012016032064128254, 1.821507
0.01249498997995992, 1.894088
0.012973947895791583, 1.966667
0.013452905811623245, 2.039243
0.013931863727454908, 2.111816
0.01441082164328657, 2.184386
0.014889779559118237, 2.256952
0.0153687374749499, 2.329515
0.015847695390781562, 2.402075
0.016326653306613224, 2.474632
0.01680561122244489, 2.547184
0.017284569138276553, 2.619733
0.017763527054108216, 2.692278
0.018242484969939878, 2.764820
0.018721442885771544, 2.837357
0.019200400801603207, 2.909890
0.01967935871743487, 2.982418
0.020158316633266532, 3.054943
0.020637274549098195, 3.127463
0.02111623246492986, 3.199978
0.021595190380761523, 3.272488
0.022074148296593186, 3.344994
0.02255310621242485, 3.417495
0.02303206412825651, 3.489991
0.023511022044088177, 3.562482
0.02398997995991984, 3.634967
0.024468937875751502, 3.707447
0.024947895791583165, 3.779922
0.025426853707414827, 3.852391
0.025905811623246493, 3.924855
0.026384769539078156, 3.997312
0.02686372745490982, 4.069764
0.02734268537074148, 4.142210
0.027821643286573144, 4.214650
0.02830060120240481, 4.287083
0.028779559118236472, 4.359511
0.029258517034068135, 4.431931
0.029737474949899798, 4.504346
0.03021643286573146, 4.576753
0.030695390781563126, 4.649154
0.03117434869739479, 4.721548
0.03165330661322645, 4.793935
0.03213226452905811, 4.866315
0.03261122244488978, 4.938688
0.03309018036072144, 5.011054
0.033569138276553105, 5.083412
0.03404809619238477, 5.155763
0.03452705410821643, 5.228106
0.03500601202404809, 5.300441
0.035484969939879756, 5.372768
0.03596392785571142, 5.445088
0.03644288577154309, 5.517399
0.03692184368737475, 5.589702
0.03740080160320641, 5.661997
0.037879759519038075, 5.734284
0.03835871743486974, 5.806562
0.0388376753507014, 5.878832
0.03931663326653306, 5.951092
0.039795591182364726, 6.023344
0.04027454909819639, 6.095587
0.04075350701402805, 6.167821
0.04123246492985972, 6.240046
0.04171142284569138, 6.312262
0.042190380761523046, 6.384468
0.04266933867735471, 6.456665
0.04314829659318637, 6.528852
0.04362725450901803, 6.601029
0.044106212424849696, 6.673196
0.04458517034068136, 6.745354
0.04506412825651302, 6.817502
0.045543086172344684, 6.889639
0.04602204408817635, 6.961766
0.046501002004008016, 7.033883
0.04697995991983968, 7.105989
0.04745891783567134, 7.178084
0.047937875751503004, 7.250169
0.048416833667334666, 7.322243
0.04889579158316633, 7.394306
0.04937474949899799, 7.466358
0.049853707414829654, 7.538399
0.050332665330661316, 7.610429
0.050811623246492986, 7.682447
0.05129058116232465, 7.754454
0.05176953907815631, 7.826449
0.052248496993987974, 7.898432
0.052727454909819636, 7.970403
0.0532064128256513, 8.042363
0.05368537074148296, 8.114310
0.054164328657314624, 8.186245
0.05464328657314629, 8.258168
0.05512224448897795, 8.330078
0.05560120240480962, 8.401976
0.05608016032064128, 8.473861
0.056559118236472944, 8.545734
0.057038076152304606, 8.617593
0.05751703406813627, 8.689440
0.05799599198396793, 8.761273
0.058474949899799594, 8.833093
0.05895390781563126, 8.904900
0.05943286573146292, 8.976693
0.05991182364729458, 9.048473
0.06039078156312625, 9.120239
0.060869739478957914, 9.191991
0.06134869739478958, 9.263730
0.06182765531062124, 9.335454
0.0623066132264529, 9.407164
0.06278557114228456, 9.478860
0.06326452905811622, 9.550541
0.0637434869739479, 9.622208
0.06422244488977956, 9.693860
0.06470140280561122, 9.765497
0.06518036072144288, 9.837120
0.06565931863727455, 9.908727
0.06613827655310621, 9.980320
0.06661723446893787, 10.051897
0.06709619238476953, 10.123459
0.0675751503006012, 10.195005
0.06805410821643286, 10.266536
0.06853306613226452, 10.338051
0.06901202404809618, 10.409550
0.06949098196392785, 10.481034
0.06996993987975951, 10.552501
0.07044889779559117, 10.623952
0.07092785571142284, 10.695386
0.0714068136272545, 10.766805
0.07188577154308617, 10.838206
0.07236472945891784, 10.909591
0.0728436873747495, 10.980960
0.07332264529058116, 11.052311
0.07380160320641282, 11.123645
0.07428056112224449, 11.194962
0.07475951903807615, 11.266262
0.07523847695390781, 11.337544
0.07571743486973948, 11.408809
0.07619639278557114, 11.480056
0.0766753507014028, 11.551286
0.07715430861723446, 11.622497
0.07763326653306613, 11.693691
0.07811222444889779, 11.764866
0.07859118236472945, 11.836023
0.07907014028056111, 11.907161
0.07954909819639278, 11.978281
0.08002805611222444, 12.049383
0.0805070140280561, 12.120466
0.08098597194388776, 12.191529
0.08146492985971944, 12.262574
0.0819438877755511, 12.333599
0.08242284569138277, 12.404606
0.08290180360721443, 12.475593
0.08338076152304609, 12.546560
0.08385971943887775, 12.617507
0.08433867735470942, 12.688435
0.08481763527054108, 12.759343
0.08529659318637274, 12.830231
0.0857755511022044, 12.901099
0.08625450901803607, 12.971946
0.08673346693386773, 13.042773
0.08721242484969939, 13.113580
0.08769138276553105, 13.184365
0.08817034068136272, 13.255130
0.08864929859719438, 13.325874
0.08912825651302604, 13.396597
0.0896072144288577, 13.467298
